ISO,FILENAME,MEAN_VALUE
TCD,h1,100.0
TCD,t4,0.0
TCD,h5,100.0
TCD,cr1,5.0
TCD,h6,
TCD,h4,100.0
TCD,t1,100.0
SWZ,h3,100.0
SWZ,t5,0.0
SWZ,t3,0.0
SWZ,t2,0.0
SWZ,a3,0.0
SWZ,cr2,5.0
SWZ,cr4,11.0
SWZ,p2,100.0
SWZ,a1,100.0
SWZ,t6,0.0
SWZ,h2,100.0
SWZ,cv5b,12.0
SWZ,a2,0.0
SWZ,h1,100.0
SWZ,t4,0.0
SWZ,h5,100.0
SWZ,cr1,5.0
SWZ,h6,
SWZ,h4,100.0
SWZ,t1,100.0
GBR,h3,100.0
GBR,t5,0.0
GBR,t3,0.0
GBR,t2,0.0
GBR,a3,0.0
GBR,cr2,72.0
GBR,cr4,72.0
GBR,p2,100.0
GBR,a1,100.0
GBR,t6,0.0
GBR,h2,100.0
GBR,cv5b,12.0
GBR,a2,0.0
GBR,h1,100.0
GBR,t4,0.0
GBR,h5,100.0
GBR,cr1,5.0
GBR,h6,
GBR,h4,100.0
GBR,t1,100.0
JAM,h3,100.0
JAM,t5,0.0
JAM,t3,0.0
JAM,t2,0.0
JAM,a3,0.0
JAM,cr2,10.0
JAM,cr4,22.0
JAM,p2,100.0
JAM,a1,100.0
JAM,t6,0.0
JAM,h2,100.0
JAM,cv5b,12.0
JAM,a2,0.0
JAM,h1,100.0
JAM,t4,0.0
JAM,h5,100.0
JAM,cr1,5.0
JAM,h6,
JAM,h4,100.0
JAM,t1,100.0
ISR,h3,100.0
ISR,t5,0.0
ISR,t3,0.0
ISR,t2,0.0
ISR,a3,0.0
ISR,cr2,72.0
ISR,cr4,72.0
ISR,p2,100.0
ISR,a1,100.0
ISR,t6,0.0
ISR,h2,100.0
ISR,cv5b,12.0
ISR,a2,0.0
ISR,h1,100.0
ISR,t4,0.0
ISR,h5,100.0
ISR,cr1,5.0
ISR,h6,
ISR,h4,100.0
ISR,t1,100.0
TUN,h3,100.0
TUN,t5,0.0
TUN,t3,0.0
TUN,t2,0.0
TUN,a3,0.0
TUN,cr2,10.0
TUN,cr4,22.0
TUN,p2,100.0
TUN,a1,100.0
TUN,t6,0.0
TUN,h2,100.0
TUN,cv5b,12.0
TUN,a2,0.0
TUN,h1,100.0
TUN,t4,0.0
TUN,h5,100.0
TUN,cr1,5.0
TUN,h6,
TUN,h4,100.0
TUN,t1,100.0
BRB,h3,100.0
BRB,t5,0.0
BRB,t3,0.0
BRB,t2,0.0
BRB,a3,0.0
BRB,cr2,10.0
BRB,cr4,22.0
BRB,p2,100.0
BRB,a1,100.0
BRB,t6,0.0
BRB,h2,100.0
BRB,cv5b,12.0
BRB,a2,0.0
BRB,h1,100.0
BRB,t4,0.0
BRB,h5,100.0
BRB,cr1,5.0
BRB,h6,
BRB,h4,100.0
BRB,t1,100.0
SYC,h3,100.0
SYC,t5,0.0
SYC,t3,0.0
SYC,t2,0.0
SYC,a3,0.0
SYC,cr2,5.0
SYC,cr4,11.0
SYC,p2,100.0
SYC,a1,100.0
SYC,t6,0.0
SYC,h2,100.0
SYC,cv5b,12.0
SYC,a2,0.0
SYC,h1,100.0
SYC,t4,0.0
SYC,h5,100.0
